test_id	test_value
OSKP600-78	9,84
OSKP600-78	9,625
OSKP600-78	10,362
OSKP600-78	10,542
OSKP600-78	10,556
OSKP600-78	9,572
OSKP600-78	10,036
OSKP600-78	10,235
OSKP600-78	10,647
OSKP600-78	10,205
OSKP600-78	9,207
OSKP600-78	9,19
OSKP600-78	10,476
OSKP600-78	10,681
OSKP600-78	10,116
OSKP600-78	10,008
OSKP600-78	10,508
OSKP600-78	10,722
OSKP600-78	10,246
OSKP600-78	10,639
OSKP600-78	10,172
OSKP600-78	11,019
OSKP600-78	9,737
OSKP600-78	9,438
OSKP600-78	10,15
OSKP600-78	9,967
OSKP600-78	10,087
OSKP600-78	9,907
OSKP600-78	10,156
OSKP600-78	10,346
OSKP600-78	10,22
OSKP600-78	10,053
OSKP600-78	10,435
OSKP600-78	9,78
M400-8	7,34599837767754
M400-8	7,33455155053293
M400-8	7,31959628279358
M400-8	7,29409139913324
M400-8	7,51675561407531
M400-8	7,51018184615116
M400-8	7,34381137422424
M400-8	7,23596450539892
M400-8	7,22482016655925
M400-8	7,2247410509807
M400-8	7,33998225706409
M400-8	7,38066860243798
M400-8	7,31771257057709
M400-8	7,45059828992731
M400-8	7,40766578568395
M400-8	7,42285695811551
M400-8	7,40528813569945
M400-8	7,45381999011208
M400-8	7,51697223279211
M400-8	7,25854469882894
M400-8	7,39663109408867
M400-8	7,42946999158477
M400-8	7,31176187357763
M400-8	7,28705806461618
M400-8	7,25960851539083
M400-8	7,23232649658158
M400-8	7,43834495614083
M400-8	7,28064359978642
M400-8	7,23670868207227
M400-8	7,44418197826558
M400-8	7,44282633570947
M400-8	7,15811418321595
M400-8	7,19895692740664
M400-8	7,40712714724317
M400-8	7,41131074205557
M400-8	7,38950444350951
M400-8	7,35785703183512
M400-8	7,4305625331804
M400-8	7,31829165752337
M400-8	7,3564305533371
M400-8	7,25038752804057
M400-8	7,38971854019163
M400-8	7,3782377734766
M400-8	7,40739362119328
M400-8	7,38620024737263
M400-8	7,40743774377018
M400-8	7,46676553464692
M400-8	7,43608290191647
M400-8	7,42565965128044
M400-8	7,43708124640344
M400-8	7,30030023635443
M400-8	7,45557025206644
M400-8	7,38699296554266
M400-8	7,33374574240143
M400-8	7,48461369214516
M400-8	7,36690860992995
M400-8	7,28175746134153
M400-8	7,26982383549734
M400-8	7,31727773002545
M400-8	7,16195885620289
M400-8	7,44969322974867
M400-8	7,43396727063901
SKP600-13	6,905
SKP600-13	6,715
SKP600-13	6,673
SKP600-13	6,859
SKP600-13	7,04
SKP600-13	6,734
SKP600-13	6,738
SKP600-13	7,041
SKP600-13	7,165
SKP600-13	6,905
SKP600-13	6,746
SKP600-13	6,766
SKP600-13	7,079
SKP600-13	6,83
SKP600-13	6,909
SKP600-13	7,055
SKP600-13	6,766
SKP600-13	6,768
SKP600-13	7,037
SKP600-13	6,652
SKP600-13	6,674
SKP600-13	6,774
SKP600-13	6,914
SKP600-13	7,016
SKP600-13	6,782
SKP600-13	6,8
SKP600-13	6,892
SKP600-13	6,952
SKP600-13	7,109
SKP600-13	6,941
SKP600-13	6,817
SKP600-13	6,616
SKP600-13	6,649
SKP600-13	6,688
SKP600-13	6,69
SKP600-13	6,817
SKP600-13	6,845
SKP600-13	6,972
SKP600-13	6,569
SKP600-13	6,823
SKP600-13	6,812
SKP600-13	6,763
SKP600-13	6,79
SKP600-13	6,84
SKP600-13	7,021
SKP600-13	6,377
SKP600-13	6,938
SKP600-13	6,986
SKP600-13	6,614
SKP600-13	6,835
SKP600-13	6,722
SKP600-13	6,907
SKP600-13	6,813
SKP600-13	6,784
SKP600-13	6,875
SKP600-13	6,929
SKP600-13	6,981
SKP600-13	6,93
SKP600-13	6,971
SKP600-13	6,759
SKP600-13	6,752
SKP600-13	7,057
SKP400-04	61,7
SKP400-04	59,66
SKP400-04	59,22
SKP400-04	60,84
SKP400-04	62,74
SKP400-04	65,32
SKP400-04	60,16
SKP400-04	60,1
SKP400-04	61,72
SKP400-04	60,48
SKP400-04	60,76
SKP400-04	61,32
SKP400-04	59,1
SKP400-04	60,84
SKP400-04	59,42
SKP400-04	62,02
SKP400-04	63,52
SKP400-04	64,36
SKP400-04	63,92
SKP400-04	62,08
SKP400-04	63,46
SKP400-04	63,76
SKP400-04	61,88
SKP400-04	61,74
SKP400-04	60,62
SKP400-04	61,46
SKP400-04	61,3
SKP400-04	59,7
SKP400-04	56,94
SKP400-04	61,84
SKP400-04	62,54
SKP400-04	58,16
SKP400-04	59,74
SKP400-04	60,78
SKP400-04	63,54
SKP400-04	62,06
SKP400-04	62,12
SKP400-04	63,24
SKP400-04	61,6
SKP400-04	62,04
SKP400-04	62,64
SKP400-04	63,62
SKP400-04	62,32
SKP400-04	62,02
SKP400-04	63,54
SKP400-04	63,62
SKP400-04	64,66
SKP400-04	60,02
SKP400-04	62,02
SKP400-04	63,5
SKP400-04	64,34
SKP400-04	63,32
SKP400-04	63,14
